condo_name,district,top_year,km_mrt,x_coord,y_coord,median_rent,refPeriod,region,ref_year,condo_age,mrt_dist
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.05,2015Q2,CCR,2015,18,0.22
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.19,2015Q3,CCR,2015,18,0.22
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.13,2015Q1,CCR,2015,18,0.22
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.01,2016Q1,CCR,2016,19,0.22
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,3.79,2017Q3,CCR,2017,20,0.22
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.05,2016Q3,CCR,2016,19,0.22
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,3.81,2017Q4,CCR,2017,20,0.22
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.19,2015Q4,CCR,2015,18,0.22
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,3.81,2017Q1,CCR,2017,20,0.22
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.07,2016Q2,CCR,2016,19,0.22
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,3.77,2016Q4,CCR,2016,19,0.22
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,3.8,2017Q2,CCR,2017,20,0.22
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,6.02,2015Q3,CCR,2015,6,0.21
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,6.16,2015Q1,CCR,2015,6,0.21
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,6.05,2015Q2,CCR,2015,6,0.21
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.91,2017Q2,CCR,2017,8,0.21
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.91,2016Q1,CCR,2016,7,0.21
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.84,2016Q4,CCR,2016,7,0.21
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.67,2017Q1,CCR,2017,8,0.21
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.66,2017Q4,CCR,2017,8,0.21
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.63,2016Q3,CCR,2016,7,0.21
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.52,2017Q3,CCR,2017,8,0.21
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.92,2016Q2,CCR,2016,7,0.21
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.86,2015Q4,CCR,2015,6,0.21
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.61,2015Q3,CCR,2015,3,0.07
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.72,2015Q2,CCR,2015,3,0.07
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.27,2017Q2,CCR,2017,5,0.07
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.29,2016Q1,CCR,2016,4,0.07
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.37,2016Q4,CCR,2016,4,0.07
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.07,2017Q1,CCR,2017,5,0.07
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.48,2017Q4,CCR,2017,5,0.07
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.27,2016Q3,CCR,2016,4,0.07
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.21,2017Q3,CCR,2017,5,0.07
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.29,2016Q2,CCR,2016,4,0.07
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.69,2015Q2,CCR,2015,8,0.11
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.81,2015Q1,CCR,2015,8,0.11
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.25,2017Q2,CCR,2017,10,0.11
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.7,2016Q1,CCR,2016,9,0.11
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.33,2016Q4,CCR,2016,9,0.11
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.57,2015Q3,CCR,2015,8,0.11
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.34,2016Q3,CCR,2016,9,0.11
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.57,2016Q2,CCR,2016,9,0.11
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.24,2017Q1,CCR,2017,10,0.11
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.6,2015Q4,CCR,2015,8,0.11
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,4.92,2017Q4,CCR,2017,10,0.11
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.14,2017Q3,CCR,2017,10,0.11
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.61,2015Q2,CCR,2015,2,0.24
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.24,2015Q1,CCR,2015,2,0.24
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.91,2015Q3,CCR,2015,2,0.24
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.41,2017Q2,CCR,2017,4,0.24
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.43,2017Q3,CCR,2017,4,0.24
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.74,2016Q2,CCR,2016,3,0.24
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.29,2016Q3,CCR,2016,3,0.24
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.83,2017Q4,CCR,2017,4,0.24
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.57,2016Q1,CCR,2016,3,0.24
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.29,2017Q1,CCR,2017,4,0.24
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.51,2016Q4,CCR,2016,3,0.24
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.92,2015Q4,CCR,2015,2,0.24
ALTEZ,02,2014,0.28 - TANJONG PAGAR,29233.36162634,28553.809441800004,6.62,2015Q2,CCR,2015,2,0.22
ALTEZ,02,2014,0.28 - TANJONG PAGAR,29233.36162634,28553.809441800004,6.19,2015Q1,CCR,2015,2,0.22
ALTEZ,02,2014,0.28 - TANJONG PAGAR,29233.36162634,28553.809441800004,6.78,2015Q3,CCR,2015,2,0.22
ALTEZ,02,2014,0.28 - TANJONG PAGAR,29233.36162634,28553.809441800004,6.33,2016Q4,CCR,2016,3,0.22
ALTEZ,02,2014,0.28 - TANJONG PAGAR,29233.36162634,28553.809441800004,6.64,2016Q1,CCR,2016,3,0.22
ALTEZ,02,2014,0.28 - TANJONG PAGAR,29233.36162634,28553.809441800004,6.27,2017Q2,CCR,2017,4,0.22
ALTEZ,02,2014,0.28 - TANJONG PAGAR,29233.36162634,28553.809441800004,6.42,2017Q3,CCR,2017,4,0.22
ALTEZ,02,2014,0.28 - TANJONG PAGAR,29233.36162634,28553.809441800004,6.34,2016Q2,CCR,2016,3,0.22
ALTEZ,02,2014,0.28 - TANJONG PAGAR,29233.36162634,28553.809441800004,6.47,2016Q3,CCR,2016,3,0.22
ALTEZ,02,2014,0.28 - TANJONG PAGAR,29233.36162634,28553.809441800004,6.51,2017Q4,CCR,2017,4,0.22
ALTEZ,02,2014,0.28 - TANJONG PAGAR,29233.36162634,28553.809441800004,6.19,2017Q1,CCR,2017,4,0.22
ALTEZ,02,2014,0.28 - TANJONG PAGAR,29233.36162634,28553.809441800004,6.76,2015Q4,CCR,2015,2,0.22
ICON,02,2007,0.21 - TANJONG PAGAR,29239.871040129998,28636.150352620003,6.19,2015Q1,CCR,2015,9,0.13
ICON,02,2007,0.21 - TANJONG PAGAR,29239.871040129998,28636.150352620003,6.11,2015Q3,CCR,2015,9,0.13
ICON,02,2007,0.21 - TANJONG PAGAR,29239.871040129998,28636.150352620003,6.01,2015Q2,CCR,2015,9,0.13
ICON,02,2007,0.21 - TANJONG PAGAR,29239.871040129998,28636.150352620003,5.61,2017Q2,CCR,2017,11,0.13
ICON,02,2007,0.21 - TANJONG PAGAR,29239.871040129998,28636.150352620003,5.76,2017Q1,CCR,2017,11,0.13
ICON,02,2007,0.21 - TANJONG PAGAR,29239.871040129998,28636.150352620003,5.83,2016Q4,CCR,2016,10,0.13
ICON,02,2007,0.21 - TANJONG PAGAR,29239.871040129998,28636.150352620003,5.65,2017Q4,CCR,2017,11,0.13
ICON,02,2007,0.21 - TANJONG PAGAR,29239.871040129998,28636.150352620003,5.74,2017Q3,CCR,2017,11,0.13
ICON,02,2007,0.21 - TANJONG PAGAR,29239.871040129998,28636.150352620003,5.94,2016Q1,CCR,2016,10,0.13
ICON,02,2007,0.21 - TANJONG PAGAR,29239.871040129998,28636.150352620003,5.96,2016Q3,CCR,2016,10,0.13
ICON,02,2007,0.21 - TANJONG PAGAR,29239.871040129998,28636.150352620003,6.13,2016Q2,CCR,2016,10,0.13
ICON,02,2007,0.21 - TANJONG PAGAR,29239.871040129998,28636.150352620003,6.11,2015Q4,CCR,2015,9,0.13
INTERNATIONAL PLAZA,02,1976,0.09 - TANJONG PAGAR,29400.442696849997,28696.64176613,3.53,2015Q3,CCR,2015,40,0.07
INTERNATIONAL PLAZA,02,1976,0.09 - TANJONG PAGAR,29400.442696849997,28696.64176613,3.91,2015Q2,CCR,2015,40,0.07
INTERNATIONAL PLAZA,02,1976,0.09 - TANJONG PAGAR,29400.442696849997,28696.64176613,3.42,2017Q2,CCR,2017,42,0.07
INTERNATIONAL PLAZA,02,1976,0.09 - TANJONG PAGAR,29400.442696849997,28696.64176613,3.07,2016Q4,CCR,2016,41,0.07
INTERNATIONAL PLAZA,02,1976,0.09 - TANJONG PAGAR,29400.442696849997,28696.64176613,3.31,2017Q4,CCR,2017,42,0.07
INTERNATIONAL PLAZA,02,1976,0.09 - TANJONG PAGAR,29400.442696849997,28696.64176613,3,2017Q3,CCR,2017,42,0.07
INTERNATIONAL PLAZA,02,1976,0.09 - TANJONG PAGAR,29400.442696849997,28696.64176613,3.42,2016Q3,CCR,2016,41,0.07
INTERNATIONAL PLAZA,02,1976,0.09 - TANJONG PAGAR,29400.442696849997,28696.64176613,3.5,2016Q2,CCR,2016,41,0.07
INTERNATIONAL PLAZA,02,1976,0.09 - TANJONG PAGAR,29400.442696849997,28696.64176613,3.58,2015Q4,CCR,2015,40,0.07
SPOTTISWOODE RESIDENCES,02,2014,0.67 - OUTRAM PARK,28380.88295588,28643.15766282,5.14,2015Q1,CCR,2015,2,0.46
SPOTTISWOODE RESIDENCES,02,2014,0.67 - OUTRAM PARK,28380.88295588,28643.15766282,5.1,2015Q2,CCR,2015,2,0.46
SPOTTISWOODE RESIDENCES,02,2014,0.67 - OUTRAM PARK,28380.88295588,28643.15766282,4.77,2016Q2,CCR,2016,3,0.46
SPOTTISWOODE RESIDENCES,02,2014,0.67 - OUTRAM PARK,28380.88295588,28643.15766282,4.65,2017Q2,CCR,2017,4,0.46
SPOTTISWOODE RESIDENCES,02,2014,0.67 - OUTRAM PARK,28380.88295588,28643.15766282,4.65,2016Q4,CCR,2016,3,0.46
SPOTTISWOODE RESIDENCES,02,2014,0.67 - OUTRAM PARK,28380.88295588,28643.15766282,4.65,2017Q1,CCR,2017,4,0.46
SPOTTISWOODE RESIDENCES,02,2014,0.67 - OUTRAM PARK,28380.88295588,28643.15766282,4.73,2017Q4,CCR,2017,4,0.46
SPOTTISWOODE RESIDENCES,02,2014,0.67 - OUTRAM PARK,28380.88295588,28643.15766282,4.52,2016Q3,CCR,2016,3,0.46
SPOTTISWOODE RESIDENCES,02,2014,0.67 - OUTRAM PARK,28380.88295588,28643.15766282,4.59,2017Q3,CCR,2017,4,0.46
SPOTTISWOODE RESIDENCES,02,2014,0.67 - OUTRAM PARK,28380.88295588,28643.15766282,5.07,2015Q3,CCR,2015,2,0.46
SPOTTISWOODE RESIDENCES,02,2014,0.67 - OUTRAM PARK,28380.88295588,28643.15766282,4.63,2015Q4,CCR,2015,2,0.46
SPOTTISWOODE RESIDENCES,02,2014,0.67 - OUTRAM PARK,28380.88295588,28643.15766282,4.98,2016Q1,CCR,2016,3,0.46
THE BEACON,02,2008,0.54 - OUTRAM PARK,28821.30389651,28739.67704182,3.88,2015Q2,CCR,2015,8,0.33
THE BEACON,02,2008,0.54 - OUTRAM PARK,28821.30389651,28739.67704182,4.22,2015Q1,CCR,2015,8,0.33
THE BEACON,02,2008,0.54 - OUTRAM PARK,28821.30389651,28739.67704182,3.78,2015Q3,CCR,2015,8,0.33
THE BEACON,02,2008,0.54 - OUTRAM PARK,28821.30389651,28739.67704182,3.9,2016Q4,CCR,2016,9,0.33
THE BEACON,02,2008,0.54 - OUTRAM PARK,28821.30389651,28739.67704182,3.87,2017Q1,CCR,2017,10,0.33
THE BEACON,02,2008,0.54 - OUTRAM PARK,28821.30389651,28739.67704182,3.65,2017Q2,CCR,2017,10,0.33
THE BEACON,02,2008,0.54 - OUTRAM PARK,28821.30389651,28739.67704182,3.63,2017Q3,CCR,2017,10,0.33
THE BEACON,02,2008,0.54 - OUTRAM PARK,28821.30389651,28739.67704182,3.97,2015Q4,CCR,2015,8,0.33
THE BEACON,02,2008,0.54 - OUTRAM PARK,28821.30389651,28739.67704182,3.9,2016Q3,CCR,2016,9,0.33
THE BEACON,02,2008,0.54 - OUTRAM PARK,28821.30389651,28739.67704182,4.06,2016Q2,CCR,2016,9,0.33
ALEXIS,03,2012,0.41 - QUEENSTOWN,25105.2265,30386.7971,5.21,2015Q2,RCR,2015,4,0.37
ALEXIS,03,2012,0.41 - QUEENSTOWN,25105.2265,30386.7971,5.69,2015Q1,RCR,2015,4,0.37
ALEXIS,03,2012,0.41 - QUEENSTOWN,25105.2265,30386.7971,5.94,2015Q3,RCR,2015,4,0.37
ALEXIS,03,2012,0.41 - QUEENSTOWN,25105.2265,30386.7971,5.28,2016Q4,RCR,2016,5,0.37
ALEXIS,03,2012,0.41 - QUEENSTOWN,25105.2265,30386.7971,5.72,2016Q1,RCR,2016,5,0.37
ALEXIS,03,2012,0.41 - QUEENSTOWN,25105.2265,30386.7971,4.69,2017Q2,RCR,2017,6,0.37
ALEXIS,03,2012,0.41 - QUEENSTOWN,25105.2265,30386.7971,5.02,2017Q3,RCR,2017,6,0.37
ALEXIS,03,2012,0.41 - QUEENSTOWN,25105.2265,30386.7971,5.42,2016Q2,RCR,2016,5,0.37
ALEXIS,03,2012,0.41 - QUEENSTOWN,25105.2265,30386.7971,5.2,2016Q3,RCR,2016,5,0.37
ALEXIS,03,2012,0.41 - QUEENSTOWN,25105.2265,30386.7971,4.51,2017Q4,RCR,2017,6,0.37
ALEXIS,03,2012,0.41 - QUEENSTOWN,25105.2265,30386.7971,5.24,2017Q1,RCR,2017,6,0.37
ALEXIS,03,2012,0.41 - QUEENSTOWN,25105.2265,30386.7971,5.36,2015Q4,RCR,2015,4,0.37
ASCENTIA SKY,03,2013,0.15 - REDHILL,26178.90992881,30365.43778311,4.41,2015Q2,RCR,2015,3,0.16
ASCENTIA SKY,03,2013,0.15 - REDHILL,26178.90992881,30365.43778311,4.07,2015Q1,RCR,2015,3,0.16
ASCENTIA SKY,03,2013,0.15 - REDHILL,26178.90992881,30365.43778311,4.54,2015Q3,RCR,2015,3,0.16
ASCENTIA SKY,03,2013,0.15 - REDHILL,26178.90992881,30365.43778311,3.87,2017Q1,RCR,2017,5,0.16
ASCENTIA SKY,03,2013,0.15 - REDHILL,26178.90992881,30365.43778311,4.2,2016Q4,RCR,2016,4,0.16
ASCENTIA SKY,03,2013,0.15 - REDHILL,26178.90992881,30365.43778311,3.93,2016Q1,RCR,2016,4,0.16
ASCENTIA SKY,03,2013,0.15 - REDHILL,26178.90992881,30365.43778311,3.9,2017Q2,RCR,2017,5,0.16
ASCENTIA SKY,03,2013,0.15 - REDHILL,26178.90992881,30365.43778311,3.73,2017Q3,RCR,2017,5,0.16
ASCENTIA SKY,03,2013,0.15 - REDHILL,26178.90992881,30365.43778311,3.9,2016Q2,RCR,2016,4,0.16
ASCENTIA SKY,03,2013,0.15 - REDHILL,26178.90992881,30365.43778311,3.86,2017Q4,RCR,2017,5,0.16
ASCENTIA SKY,03,2013,0.15 - REDHILL,26178.90992881,30365.43778311,4.15,2015Q4,RCR,2015,3,0.16
ASCENTIA SKY,03,2013,0.15 - REDHILL,26178.90992881,30365.43778311,4.43,2016Q3,RCR,2016,4,0.16
DOMAIN 21,03,2007,0.64 - TIONG BAHRU,27172.71632785,30496.90130206,4.55,2015Q2,RCR,2015,9,0.66
DOMAIN 21,03,2007,0.64 - TIONG BAHRU,27172.71632785,30496.90130206,4.18,2015Q4,RCR,2015,9,0.66
DOMAIN 21,03,2007,0.64 - TIONG BAHRU,27172.71632785,30496.90130206,4.44,2016Q3,RCR,2016,10,0.66
DOMAIN 21,03,2007,0.64 - TIONG BAHRU,27172.71632785,30496.90130206,3.91,2017Q4,RCR,2017,11,0.66
DOMAIN 21,03,2007,0.64 - TIONG BAHRU,27172.71632785,30496.90130206,4.87,2016Q1,RCR,2016,10,0.66
DOMAIN 21,03,2007,0.64 - TIONG BAHRU,27172.71632785,30496.90130206,4.22,2017Q1,RCR,2017,11,0.66
DOMAIN 21,03,2007,0.64 - TIONG BAHRU,27172.71632785,30496.90130206,4.2,2016Q2,RCR,2016,10,0.66
EMERALD PARK,03,1993,0.51 - TIONG BAHRU,27646.2725134,30282.73663746,3.9,2015Q2,RCR,2015,23,0.51
EMERALD PARK,03,1993,0.51 - TIONG BAHRU,27646.2725134,30282.73663746,3.58,2015Q3,RCR,2015,23,0.51
EMERALD PARK,03,1993,0.51 - TIONG BAHRU,27646.2725134,30282.73663746,3.77,2015Q1,RCR,2015,23,0.51
EMERALD PARK,03,1993,0.51 - TIONG BAHRU,27646.2725134,30282.73663746,3.64,2016Q1,RCR,2016,24,0.51
EMERALD PARK,03,1993,0.51 - TIONG BAHRU,27646.2725134,30282.73663746,3.18,2017Q3,RCR,2017,25,0.51
EMERALD PARK,03,1993,0.51 - TIONG BAHRU,27646.2725134,30282.73663746,3.34,2016Q3,RCR,2016,24,0.51
EMERALD PARK,03,1993,0.51 - TIONG BAHRU,27646.2725134,30282.73663746,3.18,2017Q4,RCR,2017,25,0.51
EMERALD PARK,03,1993,0.51 - TIONG BAHRU,27646.2725134,30282.73663746,3.53,2015Q4,RCR,2015,23,0.51
EMERALD PARK,03,1993,0.51 - TIONG BAHRU,27646.2725134,30282.73663746,3.29,2017Q1,RCR,2017,25,0.51
EMERALD PARK,03,1993,0.51 - TIONG BAHRU,27646.2725134,30282.73663746,3.47,2016Q2,RCR,2016,24,0.51
EMERALD PARK,03,1993,0.51 - TIONG BAHRU,27646.2725134,30282.73663746,3.32,2016Q4,RCR,2016,24,0.51
EMERALD PARK,03,1993,0.51 - TIONG BAHRU,27646.2725134,30282.73663746,3.22,2017Q2,RCR,2017,25,0.51
MERAPRIME,03,2006,0.15 - TIONG BAHRU,27408.54990437,29987.68187975,5.18,2015Q2,RCR,2015,10,0.14
MERAPRIME,03,2006,0.15 - TIONG BAHRU,27408.54990437,29987.68187975,5.16,2015Q3,RCR,2015,10,0.14
MERAPRIME,03,2006,0.15 - TIONG BAHRU,27408.54990437,29987.68187975,5.14,2015Q1,RCR,2015,10,0.14
MERAPRIME,03,2006,0.15 - TIONG BAHRU,27408.54990437,29987.68187975,5.12,2017Q2,RCR,2017,12,0.14
MERAPRIME,03,2006,0.15 - TIONG BAHRU,27408.54990437,29987.68187975,4.71,2016Q1,RCR,2016,11,0.14
MERAPRIME,03,2006,0.15 - TIONG BAHRU,27408.54990437,29987.68187975,4.86,2017Q1,RCR,2017,12,0.14
MERAPRIME,03,2006,0.15 - TIONG BAHRU,27408.54990437,29987.68187975,4.58,2016Q4,RCR,2016,11,0.14
MERAPRIME,03,2006,0.15 - TIONG BAHRU,27408.54990437,29987.68187975,4.6,2017Q4,RCR,2017,12,0.14
MERAPRIME,03,2006,0.15 - TIONG BAHRU,27408.54990437,29987.68187975,4.84,2016Q3,RCR,2016,11,0.14
MERAPRIME,03,2006,0.15 - TIONG BAHRU,27408.54990437,29987.68187975,4.75,2016Q2,RCR,2016,11,0.14
MERAPRIME,03,2006,0.15 - TIONG BAHRU,27408.54990437,29987.68187975,4.71,2015Q4,RCR,2015,10,0.14
QUEENS,03,2002,0.23 - QUEENSTOWN,25043.50455607,30556.38831421,4.25,2015Q2,RCR,2015,14,0.19
QUEENS,03,2002,0.23 - QUEENSTOWN,25043.50455607,30556.38831421,4.12,2015Q1,RCR,2015,14,0.19
QUEENS,03,2002,0.23 - QUEENSTOWN,25043.50455607,30556.38831421,3.87,2016Q2,RCR,2016,15,0.19
QUEENS,03,2002,0.23 - QUEENSTOWN,25043.50455607,30556.38831421,3.94,2015Q4,RCR,2015,14,0.19
QUEENS,03,2002,0.23 - QUEENSTOWN,25043.50455607,30556.38831421,3.87,2016Q1,RCR,2016,15,0.19
QUEENS,03,2002,0.23 - QUEENSTOWN,25043.50455607,30556.38831421,3.65,2017Q2,RCR,2017,16,0.19
QUEENS,03,2002,0.23 - QUEENSTOWN,25043.50455607,30556.38831421,3.44,2017Q4,RCR,2017,16,0.19
QUEENS,03,2002,0.23 - QUEENSTOWN,25043.50455607,30556.38831421,3.62,2017Q3,RCR,2017,16,0.19
QUEENS,03,2002,0.23 - QUEENSTOWN,25043.50455607,30556.38831421,3.68,2016Q3,RCR,2016,15,0.19
QUEENS,03,2002,0.23 - QUEENSTOWN,25043.50455607,30556.38831421,3.55,2016Q4,RCR,2016,15,0.19
QUEENS,03,2002,0.23 - QUEENSTOWN,25043.50455607,30556.38831421,3.94,2015Q3,RCR,2015,14,0.19
QUEENS,03,2002,0.23 - QUEENSTOWN,25043.50455607,30556.38831421,3.64,2017Q1,RCR,2017,16,0.19
RIVER PLACE,03,2000,0.54 - FORT CANNING,28904.504721740002,30287.159542830002,4.33,2015Q2,RCR,2015,16,0.39
RIVER PLACE,03,2000,0.54 - FORT CANNING,28904.504721740002,30287.159542830002,4.52,2015Q1,RCR,2015,16,0.39
RIVER PLACE,03,2000,0.54 - FORT CANNING,28904.504721740002,30287.159542830002,4.16,2016Q2,RCR,2016,17,0.39
RIVER PLACE,03,2000,0.54 - FORT CANNING,28904.504721740002,30287.159542830002,4.17,2015Q4,RCR,2015,16,0.39
RIVER PLACE,03,2000,0.54 - FORT CANNING,28904.504721740002,30287.159542830002,4.16,2016Q1,RCR,2016,17,0.39
RIVER PLACE,03,2000,0.54 - FORT CANNING,28904.504721740002,30287.159542830002,3.9,2017Q2,RCR,2017,18,0.39
RIVER PLACE,03,2000,0.54 - FORT CANNING,28904.504721740002,30287.159542830002,3.84,2017Q4,RCR,2017,18,0.39
RIVER PLACE,03,2000,0.54 - FORT CANNING,28904.504721740002,30287.159542830002,3.79,2017Q3,RCR,2017,18,0.39
RIVER PLACE,03,2000,0.54 - FORT CANNING,28904.504721740002,30287.159542830002,4.02,2016Q3,RCR,2016,17,0.39
RIVER PLACE,03,2000,0.54 - FORT CANNING,28904.504721740002,30287.159542830002,4.16,2015Q3,RCR,2015,16,0.39
RIVER PLACE,03,2000,0.54 - FORT CANNING,28904.504721740002,30287.159542830002,4.03,2016Q4,RCR,2016,17,0.39
RIVER PLACE,03,2000,0.54 - FORT CANNING,28904.504721740002,30287.159542830002,4,2017Q1,RCR,2017,18,0.39
TANGLIN VIEW,03,2002,0.32 - REDHILL,26225.400104790002,30489.26069871,3.81,2015Q1,RCR,2015,14,0.28
TANGLIN VIEW,03,2002,0.32 - REDHILL,26225.400104790002,30489.26069871,3.77,2015Q2,RCR,2015,14,0.28
TANGLIN VIEW,03,2002,0.32 - REDHILL,26225.400104790002,30489.26069871,3.82,2015Q3,RCR,2015,14,0.28
TANGLIN VIEW,03,2002,0.32 - REDHILL,26225.400104790002,30489.26069871,3.48,2016Q4,RCR,2016,15,0.28
TANGLIN VIEW,03,2002,0.32 - REDHILL,26225.400104790002,30489.26069871,3.39,2017Q1,RCR,2017,16,0.28
TANGLIN VIEW,03,2002,0.32 - REDHILL,26225.400104790002,30489.26069871,3.28,2017Q4,RCR,2017,16,0.28
TANGLIN VIEW,03,2002,0.32 - REDHILL,26225.400104790002,30489.26069871,3.23,2017Q2,RCR,2017,16,0.28
TANGLIN VIEW,03,2002,0.32 - REDHILL,26225.400104790002,30489.26069871,3.64,2016Q3,RCR,2016,15,0.28
TANGLIN VIEW,03,2002,0.32 - REDHILL,26225.400104790002,30489.26069871,3.37,2017Q3,RCR,2017,16,0.28
TANGLIN VIEW,03,2002,0.32 - REDHILL,26225.400104790002,30489.26069871,3.64,2016Q2,RCR,2016,15,0.28
TANGLIN VIEW,03,2002,0.32 - REDHILL,26225.400104790002,30489.26069871,3.61,2015Q4,RCR,2015,14,0.28
TANGLIN VIEW,03,2002,0.32 - REDHILL,26225.400104790002,30489.26069871,3.65,2016Q1,RCR,2016,15,0.28
THE ANCHORAGE,03,1997,0.58 - QUEENSTOWN,24858.059004299997,30212.073929560003,2.98,2015Q1,RCR,2015,19,0.54
THE ANCHORAGE,03,1997,0.58 - QUEENSTOWN,24858.059004299997,30212.073929560003,3.03,2015Q2,RCR,2015,19,0.54
THE ANCHORAGE,03,1997,0.58 - QUEENSTOWN,24858.059004299997,30212.073929560003,2.9,2015Q3,RCR,2015,19,0.54
THE ANCHORAGE,03,1997,0.58 - QUEENSTOWN,24858.059004299997,30212.073929560003,2.82,2016Q4,RCR,2016,20,0.54
THE ANCHORAGE,03,1997,0.58 - QUEENSTOWN,24858.059004299997,30212.073929560003,2.71,2017Q1,RCR,2017,21,0.54
